Open,High,Low,Close,Volume
129.6306610107422,132.83535766601562,129.1982879638672,130.802001953125,7935230330
130.82003784179688,130.82003784179688,126.95491027832031,127.4101791381836,8032709256
127.41126251220703,134.55401611328125,126.49002075195312,134.1717071533203,10476845358
134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,7430904515
135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,7526675353
136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,9093747121
144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,9257954672
143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,9387194957
141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,7697325348
138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,9084816203
143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,9332208590
143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,8528167453
146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,8378529470
144.2510528564453,167.68154907226562,144.06492614746094,165.95535278320312,16712318373
165.734619140625,170.42567443847656,161.109619140625,166.23068237304688,15173694057
166.33282470703125,167.0581512451172,159.7096405029297,164.39100646972656,13735193018
164.4893798828125,173.0692138671875,162.77560424804688,170.7799530029297,14997091826
170.7477264404297,178.52877807617188,166.7890167236328,175.3656768798828,14929342256
175.46759033203125,177.2476348876953,163.67686462402344,166.9698486328125,13713374132
166.9041290283203,169.11488342285156,162.33160400390625,167.12051391601562,11144529787
167.0604705810547,169.9101104736328,165.81971740722656,169.69715881347656,9789369362
169.60853576660156,171.00869750976562,166.77423095703125,168.29415893554688,9209827928
168.2957000732422,168.31224060058594,160.29531860351562,162.92855834960938,10396868698
162.8993682861328,164.3094482421875,156.74974060058594,163.05117797851562,10657671162
163.06729125976562,163.22723388671875,158.63247680664062,161.283935546875,8256956802
161.17681884765625,168.22032165527344,160.2811279296875,168.0771026611328,9261861590
168.00885009765625,172.92291259765625,166.90109252929688,170.93089294433594,11004476145
170.88485717773438,176.3703155517578,170.73806762695312,176.3703155517578,11772875064
176.34788513183594,178.8429718017578,175.0503387451172,175.0503387451172,10725267311
174.91770935058594,186.26048278808594,172.3746337890625,184.6904754638672,12604789338
184.73690795898438,185.4058380126953,176.29681396484375,180.16017150878906,11728616394
180.11376953125,183.84555053710938,179.74517822265625,183.6739501953125,11569697182
183.53250122070312,193.0803985595703,180.1739501953125,188.61753845214844,14054425389
188.60740661621094,193.4368896484375,188.0126953125,189.8650665283203,12392875241
189.86172485351562,191.1114959716797,185.40362548828125,189.25059509277344,11714191695
189.29910278320312,206.8040008544922,188.752685546875,204.23023986816406,14865434435
204.12969970703125,214.59771728515625,201.90406799316406,212.33908081054688,16425589683
212.31588745117188,223.14093017578125,212.30419921875,222.72605895996094,16673443564
222.51097106933594,226.5880889892578,215.38629150390625,223.14651489257812,16741203125
222.98223876953125,229.86424255371094,222.98223876953125,228.5785675048828,15031356241
228.54913330078125,229.1846160888672,218.08004760742188,223.522705078125,16210008511
223.3849334716797,236.54713439941406,218.61761474609375,235.8511962890625,16964695963
